"# Export CSV from Simcenter Amesim 2022.1 (encoding=""UTF - 8 - BOM"")",,,,,,,
"Time filename=E214E01752T_R1_211110_081827.data  ""1""","twistlock filename=E214E01752T_R1_211110_081827.data  ""1""","loadedunloaded filename=E214E01752T_R1_211110_081827.data  ""1""","tel.liftpressure filename=E214E01752T_R1_211110_081827.data  ""1""","liftheight filename=E214E01752T_R1_211110_081827.data  ""1""","Ps_liftpressure[barl] filename=E214E01752T_R1_211110_081827.data  ""1""","vehiclespeed filename=E214E01752T_R1_211110_081827.data  ""1""","Loadweight filtered filename=E214E01752T_R1_211110_081827.data  ""1"""
s,null,null,null,null,null,null,kg
0.00E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.03E-116
1.00E-01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.29E-116
2.00E-01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.57E-116
3.00E-01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.87E-116
4.00E-01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,5.18E-116
5.00E-01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,5.52E-116
6.00E-01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,5.88E-116
7.00E-01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,6.26E-116
8.00E-01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,6.67E-116
9.00E-01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,7.10E-116
1.00E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,7.56E-116
1.10E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,8.05E-116
1.20E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,8.57E-116
1.30E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,9.13E-116
1.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,9.72E-116
1.50E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.04E-115
1.60E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.10E-115
1.70E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.17E-115
1.80E+00,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,1.25E-115
1.90E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.33E-115
2.00E+00,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,1.42E-115
2.10E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.51E-115
2.20E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.61E-115
2.30E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.71E-115
2.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.82E-115
2.50E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.94E-115
2.60E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.07E-115
2.70E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.20E-115
2.80E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.34E-115
2.90E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.50E-115
3.00E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.66E-115
3.10E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.83E-115
3.20E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.02E-115
3.30E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.21E-115
3.40E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.42E-115
3.50E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.64E-115
3.60E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.88E-115
3.70E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.13E-115
3.80E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.40E-115
3.90E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.68E-115
4.00E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.99E-115
4.10E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,5.31E-115
4.20E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,5.65E-115
4.30E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,6.02E-115
4.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,6.41E-115
4.50E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,6.83E-115
4.60E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,7.27E-115
4.70E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,7.74E-115
4.80E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,8.24E-115
4.90E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,8.78E-115
5.00E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,9.35E-115
5.10E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,9.96E-115
5.20E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.06E-114
5.30E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.13E-114
5.40E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.20E-114
5.50E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.28E-114
5.60E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.36E-114
5.70E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.45E-114
5.80E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.55E-114
5.90E+00,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,1.65E-114
6.00E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.75E-114
6.10E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.87E-114
6.20E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.99E-114
6.30E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.12E-114
6.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.25E-114
6.50E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.40E-114
6.60E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.56E-114
6.70E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.72E-114
6.80E+00,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,2.90E-114
6.90E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.09E-114
7.00E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.29E-114
7.10E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.50E-114
7.20E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.73E-114
7.30E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.97E-114
7.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.23E-114
7.50E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.50E-114
7.60E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.79E-114
7.70E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,5.11E-114
7.80E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,5.44E-114
7.90E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,5.79E-114
8.00E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,6.17E-114
8.10E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,6.57E-114
8.20E+00,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,6.99E-114
8.30E+00,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,7.45E-114
8.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,7.93E-114
8.50E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,8.44E-114
8.60E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,8.99E-114
8.70E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,9.57E-114
8.80E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.02E-113
8.90E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.09E-113
9.00E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.16E-113
9.10E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.23E-113
9.20E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.31E-113
9.30E+00,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.40E-113
9.40E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.49E-113
9.50E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,1.58E-113
9.60E+00,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.39E+01,0.00E+00,1.69E-113
9.70E+00,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.80E-113
9.80E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.91E-113
9.90E+00,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.04E-113
1.00E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.17E-113
1.01E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.31E-113
1.02E+01,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,2.46E-113
